ID,LESSON,SUBJECT,TITLE,TIMESTAMP,VOLUME,PAGE,DESCRIPTION,BOOK_DESCRIPTION,INVENTOR
11,100-1,Magic with Apparatus,The Dove Pan,1:22:17,8,237,Burning money in a pan is transformed into fruit. The money is found inside the fruit.,"A magician displays an empty pan, often shallow and with a lid. With a flourish and perhaps a gesture, they suddenly produce a live dove from the seemingly empty pan. The audience is amazed by the sudden appearance of the dove, seemingly from nowhere.",NONE
12,100-1,Magic with Apparatus,Ching Ling Foo's Magic Water Can,1:40:17,8,241,A jug which can make liquid appear.,"A seemingly ordinary can repeatedly produces copious amounts of water, far beyond its apparent capacity, defying logic and leaving the audience astonished.",NONE
13,100-1,Magic with Apparatus,The Welsh Rarebit,1:40:17,8,243,You'll learn how to customize a hard-to-find prop to produce your own interactive cooking show.,"A magician seemingly makes a piece of cheese disappear from a plate or magically transform into a different food item, often a cooked dish like Welsh rarebit, leaving the audience wondering how the change occurred.",NONE
14,100-1,Magic with Apparatus,The Magic Chocolates,2:07:31,8,246,"Tasty chocolates jump from a glass, instantly back into its package","A box of chocolates, seemingly full at first, becomes an endless source of sweets, with chocolates continuously appearing no matter how many are removed, leaving the audience delighted and mystified.",NONE
15,100-1,Magic with Apparatus,The Wandering Glass and Bottle,2:17:11,8,250,"Three tricks are combined into one fast and funny routine with customized props and tons of terrific comedy moments, perfect for a partner act.","A glass and a bottle mysteriously transport themselves from one location to another, often with impossible barriers between the starting and ending points, leaving the audience baffled by their seemingly impossible journey.",NONE
16,100-1,Magic with Apparatus,"Bottle, Bottle, Where's the Bottle",2:17:11,8,258,"Three tricks are combined into one fast and funny routine with customized props and tons of terrific comedy moments, perfect for a partner act.","A bottle repeatedly vanishes and reappears in unexpected places, defying logic and leaving the audience wondering where it will appear next.",NONE
17,100-1,Magic with Apparatus,Comedy Version,2:17:11,8,255,"Three tricks are combined into one fast and funny routine with customized props and tons of terrific comedy moments, perfect for a partner act.","A bottle repeatedly vanishes and reappears in unexpected places, defying logic and leaving the audience wondering where it will appear next.",NONE
18,100-1,Magic with Apparatus,"Tarbell's ""Society Special"" Black Art Table",2:46:36,8,262,"Learn to make your own versatile table helping you vanish, produce, and exchange objects as demonstrated by a surprising lemonade-making routine.","Objects vanish, appear, and transform on a seemingly ordinary table draped in black cloth, creating impossible visual effects that leave the audience mystified.",NONE
19,100-1,Magic with Apparatus,Super Vanish of Doves,3:09:58,8,271,A modern version of an instant vanish of any small animal,"Multiple doves, seemingly held by the magician, instantly vanish into thin air, leaving no trace and bewildering the audience.",NONE
20,101-1,Comedy Magic,The Vice Versa Rabbit Mystery,0:00:10,8,283,A silly transposition of a softball between baskets. Ending with a surprise animal production.,"A rabbit vanishes from one place and reappears in another, often with the locations seemingly switched as if by magic, leaving the audience bewildered by the impossible transposition.",NONE
21,101-1,Comedy Magic,The Lie Detector,0:06:44,8,285,A borrowed quarter becomes a lie detector by absorbing its owner's energy. It jumps every time it hears a lie.,"A spectator seemingly makes free choices, yet the magician reveals a hidden or predicted outcome, demonstrating an uncanny ability to ""read minds"" or ""detect lies.""",NONE
22,101-1,Comedy Magic,The Traveling Coins,0:36:06,8,288,3 coins impossibly travel between 2 buckets.,"Coins mysteriously vanish from one hand and reappear in another, often with multiple transpositions and increasing numbers, leaving the audience astounded by their impossible journey.",NONE
23,101-1,Comedy Magic,The Chameleon Socks,0:48:34,8,291,Learn how to change the color of your socks instantly.,"A magician shows a pair of socks, often one red and one green. Through a series of magical gestures, the socks repeatedly change color, defying logic and leaving the audience wondering how the transformation occurs.",NONE
24,101-1,Comedy Magic,Mind Reading Deluxe,1:00:58,8,295,A combined comedy mind-reading and pick pocketing routine that's easier than it looks.,"The magician accurately reveals a spectator's thought-of word, number, or image, seemingly demonstrating genuine mind-reading abilities.",NONE
25,101-1,Comedy Magic,A Hypnotic Vanishing,1:39:30,8,300,"The last three tricks combine together to make a nice comedy interlude featuring the clown in your cast of characters... She levitates, vanishes, reappears, and vanishes again... all with the help of some magic shoes.","An object, often a borrowed item, mysteriously vanishes from sight with a hypnotic gesture or snap of the fingers, leaving no trace and baffling the audience.",NONE
26,101-1,Comedy Magic,An Unexpected Vanishing,1:39:30,8,303,"The last three tricks combine together to make a nice comedy interlude featuring the clown in your cast of characters... She levitates, vanishes, reappears, and vanishes again... all with the help of some magic shoes.","An object vanishes unexpectedly, often with a casual gesture or while the audience's attention is diverted, leaving them surprised and wondering how it disappeared.",NONE
27,101-1,Comedy Magic,A Comedy Levitation,1:39:30,8,305,"The last three tricks combine together to make a nice comedy interlude featuring the clown in your cast of characters... She levitates, vanishes, reappears, and vanishes again... all with the help of some magic shoes.","A person or object appears to float in the air, defying gravity, often with humorous elements and unexpected movements that add to the magical effect.",NONE
28,102-1,Pantomime Illusions,Introduction,0:00:10,---,---,---,Not in Book,NONE
29,102-1,Pantomime Illusions,The Phantom of the Circus,0:10:53,8,311,"A film noir illusion act complete with a cast of suspicious characters, stunning vanishes, and perplexing transpositions.","A ghostly apparition materializes within a seemingly empty space, often performing impossible feats or delivering eerie messages before vanishing as quickly as it appeared.",NONE
30,102-1,Pantomime Illusions,"The Chinaman, The Ghost, and the Cat",0:45:56,8,329,"A dream-like heist involving a thief, a guard, and a very tricky dog.","A magician, a ghostly figure, and a cat interact in a series of bizarre and impossible appearances, disappearances, and transformations, creating a mystifying and surreal spectacle.",NONE
31,102-1,Pantomime Illusions,The Mystery of the Three Ghosts,1:18:33,8,345,"During a psychedelic trip, weird apparitions appear, resulting in a sudden transposition.","Three ghostly figures mysteriously appear and disappear, often interacting with each other and the magician in a spooky and inexplicable manner.",NONE
32,102-1,Pantomime Illusions,The Mystery of the Dancing Girls,1:41:56,8,348,Produce a stage full of characters ready for a wild costume party.,"Several figures, often dressed as dancing girls, appear and disappear in a seemingly impossible sequence, defying logic and creating a mesmerizing spectacle.",NONE
33,102-1,Pantomime Illusions,Breakdown,1:56:19,---,---,---,Not in Book,NONE
34,103-1,Making Magic Pay,---,0:00:10,8,353,"You'll learn about the five major areas of magic in which you can make good money in.- You will explore a comprehensive list of options and learn about the requirements, benefits, and drawbacks of each.- You will also get a general idea of how much to charge for your services, based on the current economy and other factors you'll encounter.- Learn how to increase your earnings and expand your business.","To be a successful, well-paid magician, focus on drawing large crowds and providing value, which will increase your worth. Build your success gradually, understanding financial values and ensuring every action contributes to your growth. Remember, your ability to make money for others directly correlates to your own earnings.",NONE
35,11-1,Impromptu Card Mysteries,"Joe Berg's ""Count Down"" Card Mystery",0:00:10,1,213,5 hands of 5 cards are dealt. spectator selects 1 hand and shuffles it then memorizes bottom card. magician locates card without knowing it,Counting revelation,NONE
36,11-1,Impromptu Card Mysteries,Tenkai's Reverse Cards Mystery,0:13:42,1,215,"half cards face down, half cards face up, all become face down ",Cards are reversed but restore themselves,NONE
37,11-1,Impromptu Card Mysteries,Royal Card Discovery,0:19:31,1,217,"self-working mathematical trick. ""hacker"", joker, finds value of card spectator puts in their pocket ",card prediction,NONE
38,11-1,Impromptu Card Mysteries,Birds of a Feather,0:35:07,1,219,ace of spades locates spectators selected card,Performer and spectator each select card and mix them in deck. The end up together,NONE
39,11-1,Impromptu Card Mysteries,Card Appearance at Selected Number,0:42:41,1,221,Spectator names number between 1-10. Card wanted is at that number ,counting revelation,NONE
40,11-1,Impromptu Card Mysteries,The Change-About Card,0:48:12,1,223,Selected card changes into different card,Selected card mixed in deck and jumps to top,NONE
41,11-1,Impromptu Card Mysteries,Find the Burglar,0:51:54,1,225,"card revelation between 2 other, previously empty, cards",selected card found between two kings,NONE
42,11-1,Impromptu Card Mysteries,Selected Cards from Spectator's Pocket,0:57:19,1,227,3 selected cards are magically found by a spectator in the magician's coat pocket (dual reality),"The magician impossibly removes specific cards, chosen by a spectator, directly from their pocket, defying logic and leaving them astonished.",NONE
43,12-1,Mental Card Mysteries,Al Baker's Twin Soul Card Prediction,0:00:10,1,229,magician writes a predicted card and spectator A selects a card. magician writes another predicted card and spectator B selects a card. predictions are ready and found to match selected cards,double prediction,Al Baker
44,12-1,Mental Card Mysteries,You Do as I Do,0:10:39,1,232,Spectator does exactly what the magician does and both end up selecting the same card,One of five card prediction,NONE
45,12-1,Mental Card Mysteries,A Baffling Discovery,0:16:20,1,234,"3 Spectators select 5 cards at random and just think of 1 of the 5 cards.  Magician then takes the 5 cards from spectator 1 and proceeds to get rid of 4, leaving him with 1.  Spectator 1 names the card he was thinking of and it matches.  Repeat for spectator 2 and 3.",Spectator and Magician both select card. Spectator's card ends up in Magician's pocket,NONE
46,12-1,Mental Card Mysteries,Thought Location,0:35:48,1,236,"Spectator thinks of number between 1-31.  Deals down to that number and looks at the card and places it back on deck and places the rest of the deck on top of the selected card.  Magician then locates the card by placing a card in his pocket.  Magician counts down to selected number to reveal card is no longer there.   Shows card is no longer in deck.  Shows card in pocket to be spectator's card.  (combined with Thought Location, magician is able to know birthday of spectator)",Clock dial prediction,NONE
47,12-1,Mental Card Mysteries,Card in the Pocket,0:45:09,1,238,Spectator thinks of number between 1-10.  Deals down to that number and looks at the card and places it back on deck and places the rest of the deck on top of the selected card.  Magician then locates the card by placing a card in his pocket.  Magician counts down to selected number to reveal card is no longer there.  Shows card is no longer in deck.  Shows card in pocket to be spectator's card.,Joker helps find selected cards,NONE
48,12-1,Mental Card Mysteries,The Mystic Card Clock Dial,0:50:28,1,239,"Spectator counts down the number of cards equal to the month they were born and places those cards on bottom of deck.  Magician lays out 12 cards from top of deck and is able to know the month the spectator was born (combined with Thought Location, magician is able to know birthday of spectator)",selected cards found inside hat,NONE
49,12-1,Mental Card Mysteries,The Thoughtful Joker,1:01:07,1,241,"2 spectators get a half deck each and cut wherever they wish.  They select the card they cut at, switch places, place the card on what was the top of the other person's deck and complete the cut. They choose which half goes on top of the other half to place the halves back into a full deck.  They cut the deck again and complete the cut.  The magician locates the Joker and pulls it out.  The Joker ""tells"" the magician what the 2 cards are.",Cards are named as removed from hat,NONE
50,12-1,Mental Card Mysteries,"A ""Sense of Tough"" Discovery",1:10:02,1,243,"Several cards are selected and mixed into a card deck.  The cards are tossed into a hat and the magician reaches in and, 1 at a time, retrieves the cards from the hat.","The magician accurately identifies an object selected by a spectator using only their sense of touch, seemingly demonstrating heightened sensory perception or mind-reading abilities.",NONE
51,12-1,Mental Card Mysteries,Henry Hardin's Cards in Hat Discovery,1:20:53,1,245,"Cards with letters written on backs of them are mixed up and thrown into a hat.  Magician reaches in and pulls out cards that spell ""Goodbye"" to end his show.","A spectator shuffles a borrowed deck of cards, which is then placed into a borrowed hat. The magician, with the hat covered by a handkerchief, reaches in and pulls out specific cards, naming each one correctly before revealing it.",Henry Hardin
52,13-1,Card Sleights,The Pass,0:00:10,1,247,---,"Regular, Modern, Side Steal, How to use",NONE
53,13-1,Card Sleights,The Modern Pass,0:14:22,1,250,---,"A card seemingly passes directly through another card or object, defying the laws of physics and leaving the audience baffled.",NONE
54,13-1,Card Sleights,How to use the Foregoing Passes,0:17:02,1,251,---,"This describes a card trick called ""The Pass."" It's a sleight of hand technique where a card, seemingly lost in the middle of the deck, is secretly moved to the top. The instructions detail how to perform this move discreetly, emphasizing smooth movements and misdirection to keep the audience unaware of the card's true location.",NONE
55,13-1,Card Sleights,"The ""Side-Steal"" Pass",0:19:14,1,253,---,"After a spectator looks at a card in the middle of the deck, the magician secretly moves that card to the top of the deck using subtle finger movements and misdirection. This creates the illusion that the card remains lost in the deck.",NONE
56,13-1,Card Sleights,The GW Hunter Shuffle,0:22:48,1,254,---,"This is a deceptive card shuffle where the magician appears to mix the cards, but in reality, six cards are moved from one half of the deck to the other and then back again, leaving the order unchanged. This creates the illusion of shuffling while secretly maintaining the deck's original order.",GW Hunter
57,13-1,Card Sleights,The Wiggle-Woggle Shuffle,0:25:59,1,254,---,"This is a false shuffle where the deck is divided into two packets. One packet is held stationary while the other is swung back and forth, creating the illusion of shuffling without actually changing the order of the cards.",NONE
58,13-1,Card Sleights,The Riffle False Shuffle,0:28:01,1,255,---,"The magician appears to thoroughly shuffle the deck using a riffle shuffle, but secretly maintains the original order or arrangement of the cards, deceiving the audience.",NONE
59,13-1,Card Sleights,Overhand Shuffle Control,0:31:27,1,256,---,"Despite seemingly shuffling the deck with an overhand shuffle, the magician retains control of a specific card or group of cards, allowing them to manipulate its position for a later reveal.",NONE
60,13-1,Card Sleights,Controlling Cards with a Riffle Shuffle,0:36:30,1,257,---,"Pack In Hands, Three Way Table Cuts, Four Way Cuts, Card Control",NONE
61,13-1,Card Sleights,"""Pack in Hands"" False Cut",0:38:56,1,258,---,"This is a method of falsely cutting the deck by dividing it into three sections and rearranging them in a way that appears to change the order, but actually leaves the cards in their original sequence.",NONE
62,13-1,Card Sleights,The Three Way Table Cut,0:42:55,1,259,---,"This is a way to falsely cut a deck of cards by dividing it into three piles and then reassembling them in a different order. Although it looks like the cards have been mixed, this method actually keeps them in their original sequence.",NONE
63,13-1,Card Sleights,Another Three-Cut Variation,0:45:44,1,259,---,"This is another method for a false cut where the deck is divided into three piles, but the reassembly process leaves the card order completely unchanged, despite the appearance of mixing the deck.",NONE
64,13-1,Card Sleights,The Four-Way Cut,0:46:56,1,259,---,"This is a false cut where the deck is divided into four piles and then reassembled in a way that appears to change the order, but actually leaves the cards in their original sequence.",NONE
65,13-1,Card Sleights,Another Four-Way Cut,0:48:31,1,260,---,"This is a false cut where the deck is divided into four piles and then reassembled in a seemingly random order. However, this process secretly keeps the cards in their original sequence, deceiving the audience into thinking the deck has been shuffled.",NONE
66,13-1,Card Sleights,Dan's Four Way Cut (Not in the book),0:49:51,---,---,---,Dan Harlan's version of a Four-Way cut,Dan Harlan
67,13-1,Card Sleights,Fan Cut Control,0:51:06,1,260,---,"a technique for cutting the deck where the top/bottom card remains in place. It's useful for tricks where the top card is different from the rest of the deck, such as in color-changing card routines.",NONE
68,13-1,Card Sleights,Slip Cut Control,0:52:26,1,261,---,"This is a way of cutting the deck that makes it look like the cards have been mixed, but actually leaves the top/bottom card on top. The magician uses their fingers to secretly hold the top card in place while appearing to cut the deck.",NONE
69,13-1,Card Sleights,The Force,0:54:06,1,262,---,"The Classic Force. A technique used in card magic to subtly influence a spectator to choose a specific card, while maintaining the illusion of a free selection. The magician uses sleight of hand and misdirection to ensure the spectator picks the desired card.",NONE
70,13-1,Card Sleights,The Forcing Deck,0:59:42,1,264,---,"A special deck of cards used for magic tricks. It's designed to force a spectator to choose a specific card while making them believe they have a free choice. This can be achieved with a deck full of the same card, or with a few different cards strategically placed.",NONE
71,13-1,Card Sleights,Double Force with Knife,1:00:55,1,264,---,"A card force technique using a deck made up of two alternating cards. A spectator inserts a knife into the deck, ensuring they separate the deck so that one of the force cards is on either side. This guarantees the spectator will select one of the two force cards.",NONE
72,13-1,Card Sleights,The Mathematical Force,1:02:09,1,264,---,A technique to force a specific card on a spectator while giving them the illusion of a free choice. It involves having them select a number and then manipulating the deck through a series of counts and cuts to ensure the chosen card ends up at their selected number.,NONE
73,13-1,Card Sleights,Forcing Bottom Card,1:05:12,1,265,---,"A technique to force a card by having a spectator touch a card in a fanned deck. The magician secretly positions the desired card underneath the one touched, making it seem like the spectator freely chose that card.",NONE
74,13-1,Card Sleights,Force Behind Performer's Back,1:07:28,1,266,---,"Card force where the magician holds the deck behind their back and has the spectator seemingly select a card. However, the magician secretly controls the selection, forcing the spectator to choose a predetermined card.",NONE
75,13-1,Card Sleights,The Circus Trick,1:08:49,1,267,---,Trick with a forced card,NONE
76,13-1,Card Sleights,The Riffle Force,1:13:50,1,268,---,"A forcing technique where the magician riffles the deck and asks the spectator to think of a card. By using a subtly shorter card and a slight hesitation during the riffle, the magician influences the spectator to choose the predetermined card.",NONE
77,13-1,Card Sleights,Riffle Force with Unprepared Cards,1:15:54,1,270,---,"Force a card on a spectator using a regular deck and no special gimmicks. The magician riffles through the deck, pausing slightly at a specific card to influence the spectator's choice. If the spectator doesn't pick the intended card, the magician uses additional techniques and patter to ensure the trick still works.",NONE
78,13-1,Card Sleights,Forcing One of Four Cards on Table (Title misnamed in video),1:17:23,1,271,---,"Force a spectator to choose a specific card from four cards laid out on a table. The magician uses techniques like subtle positioning, psychological suggestion, dice rolls, or even a fake deck switch to influence the spectator's selection.",NONE
79,13-1,Card Sleights,Slip of Paper Force,1:25:13,1,273,---,"Forcing a card by writing the number of the desired card on several slips of paper, while pretending to write different numbers. The spectator unknowingly selects the force card by choosing a slip with the predetermined number.",NONE
80,14-1,Novel Card Mysteries,Snap It!,0:00:10,1,275,Card selected and mixed in.  Deck is thrown in hat.  Magician flicks bottom of hat and single card jumps out of hat.  It is selected card.,Hat is snapped and selected card jumps out,NONE
81,14-1,Novel Card Mysteries,The Card and Orange,0:05:16,1,276,Selected card is torn into several pieces and placed in handkerchief. 1 piece is removed by spectator. All the rest of the pieces vanish.  Orange is magically removed from cord by spectator without tearing cord or ripping through Orange. Magician does not touch Orange.  Spectator cuts into Orange and finds card restored except for 1 piece that spectator holds onto.,Selected card found in orange,NONE
82,14-1,Novel Card Mysteries,The Devil's Letter,0:25:40,1,285,"2 spectators - Spectator 1 selects card and places card in pocket. Spectator 2 attempts to select the same card from a different deck and fails several times. Magician takes final attempted card match and places it in envelope and uses match to light flash paper inside envelope.  When card is shown again, it is 1 card above the original selected card (IE: it is 3 of hearts where spectator 1 selected 2 of hearts). Magician then flicks off center heart to make it correct.","Card not found in banana, but another card changes into it",NONE
83,14-1,Novel Card Mysteries,The Bewitched Banana,0:48:00,1,290,"Spectator selects card and imagines cutting a banana into the amount of pieces that the card value is equal to. When peeled, the banana is cut into that many pieces (4 of diamonds = 4 pieces).  3 pieces selected by the spectator are handed out to the audience.  The last piece has a diamond in it.",Banana cut into selected number of pieces,NONE
84,15-1,Restoring Torn Papers,Chinese Paper Mystery,0:00:10,1,297,Magician tears dollar into 4 pieces and restores it,torn and restored tissue,NONE
85,15-1,Restoring Torn Papers,Winter-time in China,0:07:45,1,301,"Variation of snowstorm. Magician lights candle and turns it into silk. He then proceeds to pull bud off paper rose and tear into pieces and puts pieces into liquid. He grabs a few, squeezes out liquid and uses hand fan to create ""snowstorm"". he then restores rose as a real rose. ",Snowstorm from torn papers (2 versions),NONE
86,15-1,Restoring Torn Papers,Winter-time in China (Tannen Arrangement),0:33:52,1,305,"Variation of snowstorm (and how to make confetti). Magician cuts paper into shape of snowflake, then rips up snowflake putting pieces into glass and pours water into it soaking pieces.  Magician grabs pieces, squeezes out water, and uses hand fan and dry confetti appears from his hand like a ""snowstorm""",torn and restored with fake explanation,NONE
87,15-1,Restoring Torn Papers,Chinese Paper Mystery,0:51:08,1,297,Spectator and magician both have paper hearts and rip them up and ball them up.  Then both are restored.,"Torn, burned, and restored",NONE
88,15-1,Restoring Torn Papers,Hindu Paper Tearing,0:58:32,1,312,Dollar is torn and burnt then reappears in magicians hand.,Torn papers restored into a paper hat,NONE
89,15-1,Restoring Torn Papers,Milady's Parisienne Hat,1:08:00,1,317,"2 pieces of tissue paper are torn into many pieces, magician takes all pieces and squeezes them together and when done, un-ravels them to show they have merged together to form a paper hat.",two sheets of tissue paper are torn into pieces and then restored into a hat.,NONE
90,16-1,Rope and Tape,"Coats, Tapes, and Rings",0:04:42,1,321,"2 ropes are run through a keychain and a jacket, then another jacket and another keychain. the ropes are tied, and the ends held by spectators.  The spectators pull and the ropes go through everything.",Coat and rings removed from rope,NONE
91,16-1,Rope and Tape,"Coats, Ropes, and Rings",0:18:54,1,329,The magician comes out in a robe and slippers and sees ropes going through his clothes.  The ropes are tied around him and spectators pull on the ends.  The clothes come off the ropes and the ropes go through the magician.,Similar to above,NONE
92,16-1,Rope and Tape,The Prisoner's Escape or Hanging Oneself with Ropes,0:52:15,1,334,2 ropes are tied around the magician's neck like a noose. both ropes go through the magician's neck. ,Rope through neck,NONE
93,16-1,Rope and Tape,The Magic Orange,0:59:37,1,338,"2 ropes are ""sewn"" through orange. ropes are tied around orange. 2 spectators each hold an end. When instructed to pull, the ropes go through the orange without hurting it",Orange falls from tapes into magician's hands.,NONE
94,16-1,Rope and Tape,Walking Through Tapes,1:11:52,1,342,"magician is tightly wrapped in 2 ropes, even through the arms of his coat. 2 spectators each hold an end and pull. magician turns and by the time he is all the way around, the ropes have come completely out and freed him ","A person is seemingly bound with two long tapes, and then, impossibly, appears to walk right through them, leaving the audience baffled and intrigued.",NONE
95,16-1,Rope and Tape,Another Tapes Release,1:19:32,1,344,"magician wraps spectator in 2 ropes, including through arms of coat, and handcuffs spectator. ends of rope are pulled and rope goes through spectator, coat, and handcuffs. Handcuffs then handcuff magician to spectator. magician then frees both from handcuffs ","Two tapes are seemingly linked together and then threaded through a person's coat sleeves and rings held in their hands. With a simple tug, the tapes inexplicably become free, leaving the audience to wonder how the separation occurred.",NONE
96,17-1,Handkerchief Tricks,The Wandering Handkerchief,0:00:10,1,345,"Handkerchief magically goes from right pocket to left pocket then back to right. Spectator checks pockets. Spectator ties knots in Handkerchief. At the end, spectator pulls out handkerchief and magician's sock",Colored handkerchiefs travel from pocket to pocket,NONE
97,17-1,Handkerchief Tricks,The Silk and the Flame,0:17:31,1,350,Magician cuts snowflake into paper. magician lights candle. Magician lights snowflake and as it flashes a silk appears. Magician makes silk vanish in hand. Magician wraps candle in magazine page and candle turns into silk. magician pulls lit candle from inside coat. ,"Silk produced from candle, vanished, and more",NONE
98,17-1,Handkerchief Tricks,"The Candle, the Silk, and the Paper Tube",0:37:15,1,356,"magician lights candle with match, match turns into silk. magician places tube around candle. silk vanishes in magicians hand. candle is removed and 2nd tube is used to cover candle. candle is lit. candle is pushed fully into tube. tube is shaken until silk comes out. tube is shown empty. 1st tube is removed to show candle. ",Another silk and candle routine,NONE
99,17-1,Handkerchief Tricks,Elusive Silks,0:53:35,1,358,Comedy routine involving 2 different color silks. a knot gets tied into them and unties itself. silks are placed in baseball cap and change color and money spring is produced as well ,change bag routine,NONE
100,18-1,Knotty Silks,Overview of Knotty Silks,---,---,---,"The moves in this section can be done with silks, neckties, ropes, or anything similar and all put together to form a routine.",Not in Book,NONE
101,18-1,Knotty Silks,Instantaneous One-Hand Knot,0:41:34,1,363,Create a knot with 1-hand instantly,"A silk handkerchief is twisted and held in one hand. With a simple shake or gesture, a knot mysteriously appears in the center of the handkerchief.",NONE
102,18-1,Knotty Silks,Pull-Away Single Knot,0:41:34,1,364,tie a knot in a rope that instantly vanishes,"A single knot is tied in a handkerchief and held in the magician's hand. In a blink of an eye, the knot mysteriously dissolves and the handkerchief is shown completely free.",NONE
103,18-1,Knotty Silks,Dissolving Single Knot,0:41:34,1,365,Tie a knot the spectators see on the rope and have the knot disappear ,"A handkerchief with a knot tied in it is placed on a chair. When the magician picks it up again, the knot has vanished without a trace.",NONE
104,18-1,Knotty Silks,The Speedy Single Knot,0:41:34,1,367,"bring both ends of handkerchief together and when you separate them, you create a knot in the handkerchief ","A handkerchief is held outstretched between the magician's hands. With a rapid movement and a flourish, a knot instantly appears in the middle of the handkerchief.",NONE
105,18-1,Knotty Silks,The Fade-Away Double Knot,0:41:34,1,368,"tie 2 silks together and at your command, the knot unties itself ","Two silk handkerchiefs are tied together with a double knot and placed on a chair. When the magician picks them up a moment later, the knot has completely vanished, and the handkerchiefs are separate.",NONE
106,18-1,Knotty Silks,Nu-Way Double Knot,0:41:34,1,369,double knot instantly comes out,"Two silk handkerchiefs are tied together. The magician holds them up, and with a quick shake and a magical gesture, the knot instantly dissolves, leaving the handkerchiefs separate and untied.",NONE
107,18-1,Knotty Silks,Quick Release Double Knot,0:41:34,1,371,quickly take apart 2 silks that are double knotted together ,"Two handkerchiefs are tied together in a double knot. The magician takes hold of the knot, and with a quick, almost undetectable movement, the knot dissolves itself, leaving the handkerchiefs completely separate.",NONE
108,18-1,Knotty Silks,Leg Tie and Release with Handkerchief,0:41:34,1,372,silk is wrapped around leg and tied. magician grabs both ends and silk pulls through leg,"A handkerchief is tied securely around a person's leg. With a simple gesture, the magician causes the handkerchief to instantly and inexplicably vanish from the leg, leaving no trace of how the release occurred.",NONE
